x_0	y_0	x_1	y_1	x_2	y_2	x_3	y_3	x_4	y_4	x_5	y_5	x_6	y_6	x_7	y_7	x_8	y_8	x_9	y_9	x_10	y_10	x_11	y_11	x_12	y_12	x_13	y_13	x_14	y_14	x_15	y_15	x_16	y_16	x_17	y_17	x_18	y_18	x_19	y_19	x_20	y_20	x_21	y_21	x_22	y_22	x_23	y_23	x_24	y_24	x_25	y_25	x_26	y_26	x_27	y_27	x_28	y_28	x_29	y_29	x_30	y_30	x_31	y_31	x_32	y_32	x_33	y_33	x_34	y_34	x_35	y_35	x_36	y_36	x_37	y_37	x_38	y_38	x_39	y_39	x_40	y_40	x_41	y_41	x_42	y_42	x_43	y_43	x_44	y_44	x_45	y_45	x_46	y_46	x_47	y_47	x_48	y_48	x_49	y_49	x_50	y_50	x_51	y_51	x_52	y_52	x_53	y_53	x_54	y_54	x_55	y_55	x_56	y_56	x_57	y_57	x_58	y_58	x_59	y_59	x_60	y_60	x_61	y_61	x_62	y_62	x_63	y_63	x_64	y_64	x_65	y_65	x_66	y_66	x_67	y_67	x_68	y_68	x_69	y_69	x_70	y_70	x_71	y_71	x_72	y_72	x_73	y_73	x_74	y_74	x_75	y_75	x_76	y_76	x_77	y_77	x_78	y_78	x_79	y_79	x_80	y_80	x_81	y_81	x_82	y_82	x_83	y_83	x_84	y_84	x_85	y_85	x_86	y_86	x_87	y_87	x_88	y_88
26.72	465.13	30.44	342.84	31.06	358.01	45.46	345.97	74.12	399.07	88.36	200.28			82.00	230.50							87.49	358.46					91.98	108.29	96.23	323.58	109.36	451.87	129.29	477.35	141.34	340.72			161.00	295.00			185.53	208.47	188.13	453.75	200.54	167.89	214.26	183.48	222.01	495.77	233.95	336.58			253.84	448.24	256.28	446.46	295.14	447.64	296.00	82.49	304.61	366.41	312.65	176.32	321.68	152.69			325.81	211.80	325.79	211.41	332.68	412.68	335.67	511.70	344.00	76.56	348.85	173.82	348.37	137.68	359.26	264.70	363.26	429.91	367.65	301.94	380.54	417.52	399.41	130.51	378.20	130.93	388.49	130.99					393.56	185.86	400.47	182.50	437.51	371.76			466.02	3.70	464.93	203.08	469.81	3.78	467.65	273.67			480.59	435.90	485.14	126.33	516.10	501.05	560.29	82.27	560.12	82.17	567.20	253.85	580.95	178.90	570.24	489.12	571.00	130.00	573.17	122.32			583.26	132.59	589.64	392.40			626.80	390.57	641.71	194.33	643.45	416.26	647.05	106.10	664.22	224.44	671.50	113.50	672.51	131.51	676.51	29.51	682.15	41.55			678.04	47.69				
27.20	465.57	30.71	343.02	31.01	358.94	45.61	345.63	74.45	399.21	88.30	200.37			82.00	231.46							87.24	357.99					91.95	108.49	95.59	324.04	109.07	452.07	129.49	477.47	141.51	341.00			162.00	295.00			186.49	208.00	187.96	454.05	200.09	168.53	214.48	183.90	221.51	496.37	233.33	336.33			253.50	448.28	256.20	447.32	295.19	447.49	295.89	82.11	304.39	366.01	313.38	176.36	321.59	153.27			325.03	211.50	325.46	210.97	333.00	412.49	335.52	511.48	344.71	76.31	349.33	174.21	347.95	137.66	358.44	264.26	363.48	430.31	367.30	301.83	380.36	417.71	399.38	130.57	377.85	130.63	388.79	130.60					393.39	185.72	400.39	182.57	437.39	371.62			466.60	3.77	464.54	203.23	471.00	3.52	468.51	273.00			481.11	435.77	485.15	126.27	516.29	501.40	559.67	83.37			567.14	253.27	580.89	179.49	570.21	489.15	571.00	128.50	573.52	122.14			583.54	132.32	589.16	392.16			626.40	390.77	642.00	194.25	644.02	416.49	647.11	106.91	664.72	224.35	672.52	113.48	673.00	131.33	676.51	29.98	681.55	41.32			679.14	48.43				
27.69	465.58	32.25	343.90	31.85	358.81	46.40	345.30	75.25	400.10	87.44	201.22			82.51	231.00							87.49	358.47					92.69	109.05	95.57	324.39	109.21	452.76	129.52	477.49	141.54	340.48			156.00	297.00			186.48	208.00	188.68	454.45	200.14	168.77	214.40	184.10	221.33	495.99	233.81	335.81			253.57	448.59	256.05	446.94	294.75	447.85	296.30	82.49	304.66	366.21	313.22	175.60	321.99	153.50			325.78	211.60	326.01	211.34	334.00	412.45	336.31	511.30	344.78	76.08	349.90	175.44	348.42	137.39	358.21	264.57	363.76	430.24	367.82	301.99	380.68	418.09	397.02	130.62	377.85	130.63	388.24	129.50					393.41	186.29	401.40	183.42	437.67	372.17			466.50	3.96	465.92	203.12	471.00	3.49	469.34	272.67			481.03	436.01	485.07	126.10	516.64	501.72	559.32	83.46			567.08	253.44	583.81	179.85	570.34	489.24	571.00	130.00	573.68	121.32			583.37	132.50	589.99	392.60			628.08	390.91	642.44	194.49	643.53	416.46	647.38	107.09	665.21	224.19	671.53	114.47	675.51	131.66	676.50	30.52	681.61	40.96			679.09	48.40				
27.32	466.09	31.98	343.83	30.54	359.40	46.22	345.56	75.17	400.28	86.37	201.40			82.53	231.00							87.50	358.45					92.03	109.71	95.34	324.90	109.04	452.79	129.53	478.00	141.53	340.51			155.49	297.00			187.00	208.50	188.84	455.14	200.08	169.34	214.07	185.15	220.59	496.39	233.77	335.98			253.19	448.11	255.67	446.76	294.42	447.62	296.73	82.56	305.33	366.43	313.32	176.05	322.14	153.09			326.01	211.51	326.38	211.55	333.67	411.68	335.65	511.30	344.82	76.10	349.89	175.57	348.40	137.48	357.83	264.14	363.84	430.54	368.09	302.43	380.16	418.13	397.03	130.97			388.00	130.19					392.90	185.74	401.10	182.91	437.14	372.34			465.98	3.96	465.30	203.24	470.50	4.01	470.00	272.51			481.23	436.50	484.38	126.61	516.67	501.59	559.20	83.79			567.54	253.63	578.70	179.24	570.32	489.38	571.00	131.00	573.40	122.41			584.09	132.80	590.07	392.50			627.29	390.51	642.51	194.47	643.98	416.80	646.94	107.58	665.34	224.39	671.34	114.33	676.00	132.00	676.01	30.98	681.05	40.91			678.53	48.28				
26.18	466.13	31.51	344.25	32.18	359.55	45.55	346.49	75.48	400.08	87.11	200.76			82.00	231.44							87.49	358.00					91.41	109.59	95.30	324.59	109.05	453.05	129.51	478.49	141.51	341.47			155.49	297.00			185.52	207.50	189.04	456.71	200.05	168.82	213.80	186.55	219.91	496.53	233.63	335.92			252.72	448.50	254.92	448.84	294.33	447.47	296.38	83.35	305.26	366.65	313.68	176.30	322.36	153.21			325.50	211.51	325.76	211.48	333.00	412.00	335.53	511.47	344.91	76.19	348.99	175.82	348.03	137.97	357.55	263.76	363.64	429.83	368.89	302.59	379.63	418.59	396.58	131.31			386.76	129.99					393.69	185.12	400.15	182.57	437.29	372.69			465.50	4.48	465.44	203.62	470.00	3.97	469.50	272.51			480.54	436.39	484.59	126.41	516.44	501.71	551.76	82.70			568.06	253.57	580.86	180.71	570.04	489.18	571.00	131.00	573.81	122.80			584.22	133.27	589.84	392.39			626.40	390.63	642.76	193.98	644.52	416.97	646.59	107.62	665.61	225.16	670.97	114.35	672.49	132.25	675.90	31.28	680.68	41.37			679.43	49.19				
25.64	466.01	31.14	343.98	32.04	360.04	45.46	346.02	75.33	400.18	88.78	200.70			82.00	231.45							87.52	357.51					92.09	109.54	95.45	324.73	109.15	453.90	129.30	478.33	142.00	341.47			157.50	296.00			185.34	207.68	189.14	456.48	200.70	169.53	213.82	186.83	220.07	497.21	234.13	335.83			252.69	448.81	254.15	449.48	293.75	447.66	295.33	83.76	305.57	366.45	313.29	176.58	323.04	153.38			325.14	211.87	324.97	211.84	332.69	412.30	335.67	511.68	344.43	76.08	348.30	175.82	348.33	137.73	357.86	264.02	363.04	429.35	369.28	302.83	379.79	418.49	396.63	131.00			387.00	129.50					393.90	184.42	398.99	182.24	437.17	372.89			464.99	4.00	466.15	204.28	469.15	3.84	470.00	273.00			480.60	436.56	483.95	126.50	516.78	502.18	558.95	84.07			568.18	253.81	578.85	180.68	570.24	489.23	571.00	130.00	573.79	122.81			583.95	133.11	589.28	392.61			626.34	389.82	642.52	194.48	644.26	416.74	646.78	107.08	665.22	225.55	671.00	114.00	673.04	131.71	675.47	32.21	680.81	41.92			678.99	50.00				
26.66	467.16	31.10	343.67	31.54	360.39	45.88	346.81	75.29	400.08	91.87	198.78			82.00	231.47							87.53	357.53					92.21	109.48	94.31	324.78	109.11	454.22	129.01	478.24	142.52	341.48			157.50	296.00			186.48	208.00	189.03	456.12	200.54	170.01	214.45	187.76	220.33	497.74	233.59	335.65			253.24	448.87	255.08	449.32	293.65	448.37	295.65	84.07	305.92	365.71	313.90	177.32	323.37	153.09			324.78	211.59	324.88	211.82	332.68	412.29	336.00	512.50	344.53	76.99	347.55	175.38	348.84	138.20	358.06	264.59	363.24	429.39	369.58	302.41	379.74	418.44	396.55	131.31			387.32	130.33					395.84	183.66	398.99	182.24	436.98	372.99			465.18	4.86	465.99	203.98	470.00	4.49	470.00	272.48			480.13	436.60	483.90	126.90	516.77	502.47	559.29	84.41			568.55	254.46	582.60	181.00	570.95	488.95	572.00	128.00	574.01	122.99			583.99	133.14	588.99	393.03			626.08	390.64	642.53	194.50	644.29	415.99	646.75	106.82	665.64	225.60	671.98	115.01	673.99	132.31	675.57	33.09	679.78	40.72			677.98	49.12				
26.59	467.65	31.61	344.13	32.87	358.84	46.25	347.38	74.90	400.22	91.61	198.56			81.51	231.00							87.52	357.53					92.94	109.81	94.54	324.42	108.97	453.72	129.21	477.61	142.55	341.49			161.00	296.00			186.34	208.32	189.18	456.43	200.78	169.87	214.33	188.18	220.23	497.66	233.46	335.84			254.01	448.81	255.11	449.71	293.97	448.39	295.61	83.95	305.78	365.77	313.74	176.28	323.41	153.58			324.99	211.97	324.82	211.44	332.68	412.32	335.37	511.70	344.46	77.29	347.31	174.77	348.77	137.61	357.88	264.86	363.20	428.62	369.25	302.55	379.67	418.78	397.10	131.66			387.61	130.19					395.74	183.96			437.05	372.80			465.52	5.49	465.87	203.69	470.16	5.00	469.52	273.00			480.21	436.62	483.83	126.76	516.50	503.05	559.08	84.09			568.90	254.75	584.97	180.68	570.49	488.83	574.24	122.49	574.01	122.99			583.50	133.10	589.38	392.77			625.80	391.14	642.76	194.02	643.56	415.71	647.40	107.08	665.76	225.71	671.25	116.00	673.89	132.45	676.04	32.41	680.38	41.13			678.49	49.37				
26.16	467.65	32.25	344.47	32.62	357.82	46.18	347.98	75.25	400.46	91.05	199.31			82.00	231.49							87.54	358.50					92.73	110.45	94.59	324.72	109.46	453.51	129.02	478.25	142.29	341.32			161.48	295.00			186.51	208.49	189.01	457.18	201.33	169.31	214.32	188.12	219.91	497.79	233.28	336.04			253.30	449.00	254.00	446.00	293.80	448.44	296.18	83.15	305.36	365.43	314.83	176.68	323.59	153.33			324.86	212.09	324.64	211.56	333.51	412.47	335.32	511.67	343.76	77.16	346.36	174.60	348.55	138.12	358.40	264.38	363.46	427.50	369.48	302.84	379.36	418.98	397.02	131.58			388.60	131.00					392.97	183.85			436.99	373.25			465.02	5.69	465.40	203.60	469.24	5.77	469.49	273.00			481.01	437.32	483.78	126.41	516.49	503.21	559.45	85.08			568.55	255.65	579.84	181.73	570.09	488.74	573.89	123.22					583.84	133.26	589.43	392.40			625.33	390.84	642.50	194.02	644.46	416.03	647.58	106.54	666.59	225.88	671.99	115.83	673.32	132.01	676.01	36.99	680.47	40.91			678.59	49.19				
26.14	467.75	31.89	345.23	32.84	358.23	46.50	348.15	75.19	399.83	91.57	199.69			82.00	231.54							87.53	358.52					92.54	110.35	94.70	325.05	109.34	453.50	128.69	477.68	142.00	341.49			160.98	294.68			187.00	208.00	189.18	457.26	201.08	168.39	215.01	187.91	219.79	497.46	232.87	335.50			253.12	448.31	254.35	449.41	293.71	448.36	296.53	83.19	305.09	365.70	314.90	176.59	323.63	153.15			325.44	212.62	325.14	212.35	333.53	412.48	335.49	511.54	343.81	77.41	346.14	174.85	348.52	138.22	358.36	264.23	362.81	427.65	368.95	302.51	379.39	418.97	397.18	131.64			390.00	132.00					393.42	184.30			437.48	373.41			465.50	6.00	465.82	203.46	470.00	5.98	468.66	273.33			480.42	436.66	483.91	126.01	516.63	503.21	559.02	85.79			568.96	256.00	583.41	180.76	569.51	489.34	576.21	122.65					584.22	132.79	589.63	392.63			625.37	390.63	642.61	194.20	644.21	416.78	647.46	106.75	667.04	225.88	671.51	115.99	673.64	132.37	675.61	36.09	680.42	41.55			680.00	50.00				
