Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 2: NDI 8700340  s/n:34802401	474329	1	OK	0.8122958	-0.1984588	-0.4448432	-0.3207867	78.765	-24.265	-1247.170	0.1102663	0	Stray Markers	474329	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.156	-25.611	-1242.746
2	Port 2: NDI 8700340  s/n:34802401	474332	1	OK	0.8115322	-0.1991931	-0.4449910	-0.3220568	78.742	-23.757	-1247.205	0.1089281	0	Stray Markers	474332	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.126	-25.039	-1242.309
2	Port 2: NDI 8700340  s/n:34802401	474335	1	OK	0.8113580	-0.1994017	-0.4446070	-0.3228960	78.647	-22.942	-1247.211	0.1098413	0	Stray Markers	474335	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.073	-24.321	-1242.172
2	Port 2: NDI 8700340  s/n:34802401	474338	1	OK	0.8112648	-0.1986200	-0.4448134	-0.3233275	78.565	-21.733	-1247.216	0.1101228	0	Stray Markers	474338	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.995	-23.371	-1242.300
2	Port 2: NDI 8700340  s/n:34802401	474341	1	OK	0.8105037	-0.1981675	-0.4453689	-0.3247461	78.447	-20.610	-1247.281	0.1090352	0	Stray Markers	474341	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.972	-22.790	-1242.505
2	Port 2: NDI 8700340  s/n:34802401	474344	1	OK	0.8097108	-0.1970864	-0.4460904	-0.3263874	78.397	-19.210	-1247.340	0.1083327	0	Stray Markers	474344	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.901	-21.705	-1243.097
2	Port 2: NDI 8700340  s/n:34802401	474347	1	OK	0.8082373	-0.1975083	-0.4467037	-0.3289359	78.361	-18.406	-1247.313	0.1066874	0	Stray Markers	474347	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.815	-21.166	-1242.647
2	Port 2: NDI 8700340  s/n:34802401	474350	1	OK	0.8075380	-0.1979512	-0.4466366	-0.3304746	78.334	-17.741	-1247.328	0.1016353	0	Stray Markers	474350	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.791	-20.435	-1243.415
2	Port 2: NDI 8700340  s/n:34802401	474353	1	OK	0.8075496	-0.1982827	-0.4461972	-0.3308409	78.298	-17.307	-1247.263	0.0995506	0	Stray Markers	474353	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.762	-19.900	-1243.615
2	Port 2: NDI 8700340  s/n:34802401	474356	1	OK	0.8080647	-0.1983342	-0.4454197	-0.3305999	78.209	-16.871	-1247.279	0.1027221	0	Stray Markers	474356	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.654	-19.204	-1243.443
2	Port 2: NDI 8700340  s/n:34802401	474359	1	OK	0.8078455	-0.1976022	-0.4453568	-0.3316569	78.157	-16.397	-1247.357	0.1046025	0	Stray Markers	474359	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.587	-18.860	-1242.800
2	Port 2: NDI 8700340  s/n:34802401	474362	1	OK	0.8071888	-0.1966522	-0.4461401	-0.3327660	78.131	-15.877	-1247.340	0.0972907	0	Stray Markers	474362	1	OK	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	70.525	-18.666	-1242.096
