Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	451220	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451220	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.164	-22.861	-1238.068
2	Port 2: NDI 8700340  s/n:34802401	451223	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451223	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.160	-22.877	-1238.075
2	Port 2: NDI 8700340  s/n:34802401	451226	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451226	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.166	-22.890	-1238.116
2	Port 2: NDI 8700340  s/n:34802401	451229	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451229	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.163	-22.903	-1238.131
2	Port 2: NDI 8700340  s/n:34802401	451232	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451232	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.165	-22.904	-1238.114
2	Port 2: NDI 8700340  s/n:34802401	451235	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451235	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.170	-22.937	-1238.167
2	Port 2: NDI 8700340  s/n:34802401	451238	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451238	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.169	-22.954	-1238.221
2	Port 2: NDI 8700340  s/n:34802401	451241	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451241	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.163	-22.951	-1238.183
2	Port 2: NDI 8700340  s/n:34802401	451244	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451244	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.167	-22.925	-1238.143
2	Port 2: NDI 8700340  s/n:34802401	451247	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	451247	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	1	OK	71.158	-22.912	-1238.028
