Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
2	Port 2: NDI 8700340  s/n:34802401	453722	1	OK	0.6734413	0.1399727	-0.7063402	0.1672365	78.603	-33.177	-1247.736	0.0969094	0	Stray Markers	453722	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453725	1	OK	0.6739984	0.1402118	-0.7055575	0.1680933	78.118	-33.249	-1248.198	0.0971110	0	Stray Markers	453725	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453728	1	OK	0.6750454	0.1408626	-0.7044784	0.1678740	77.713	-33.260	-1248.750	0.0910060	0	Stray Markers	453728	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453731	1	OK	0.6753276	0.1407118	-0.7042663	0.1677550	77.537	-33.252	-1248.841	0.0913305	0	Stray Markers	453731	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453734	1	OK	0.6758481	0.1402304	-0.7038797	0.1676845	77.385	-33.283	-1249.038	0.0876106	0	Stray Markers	453734	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453737	1	OK	0.6764644	0.1392389	-0.7033687	0.1681691	77.198	-33.281	-1249.283	0.0852560	0	Stray Markers	453737	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453740	1	OK	0.6770477	0.1384107	-0.7029450	0.1682770	76.997	-33.306	-1249.484	0.0840433	0	Stray Markers	453740	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453743	1	OK	0.6772208	0.1372055	-0.7029616	0.1684984	76.986	-33.296	-1249.435	0.0909509	0	Stray Markers	453743	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453746	1	OK	0.6774340	0.1366913	-0.7028852	0.1683777	76.949	-33.280	-1249.511	0.0980595	0	Stray Markers	453746	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453749	1	OK	0.6784470	0.1374304	-0.7018053	0.1682018	76.465	-33.354	-1250.078	0.0963380	0	Stray Markers	453749	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453752	1	OK	0.6789754	0.1379404	-0.7011198	0.1685108	75.843	-33.441	-1250.696	0.1000029	0	Stray Markers	453752	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453755	1	OK	0.6796431	0.1393240	-0.6999376	0.1695920	75.033	-33.565	-1251.631	0.1020739	0	Stray Markers	453755	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453758	1	OK	0.6798550	0.1413202	-0.6991562	0.1703125	74.242	-33.626	-1252.484	0.0979621	0	Stray Markers	453758	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453761	1	OK	0.6801355	0.1419877	-0.6985444	0.1711456	73.600	-33.699	-1253.218	0.0854720	0	Stray Markers	453761	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453764	1	OK	0.6806903	0.1427059	-0.6978691	0.1710979	73.121	-33.738	-1253.817	0.0906106	0	Stray Markers	453764	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453767	1	OK	0.6803196	0.1431403	-0.6982021	0.1708507	72.826	-33.723	-1254.121	0.0898189	0	Stray Markers	453767	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453770	1	OK	0.6806369	0.1435639	-0.6976718	0.1713969	72.113	-33.815	-1254.837	0.0897746	0	Stray Markers	453770	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453773	1	OK	0.6814537	0.1454456	-0.6964658	0.1714698	71.251	-33.899	-1255.858	0.0951314	0	Stray Markers	453773	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453776	1	OK	0.6811947	0.1455701	-0.6964470	0.1724666	70.631	-33.971	-1256.492	0.0994165	0	Stray Markers	453776	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453779	1	OK	0.6820123	0.1466074	-0.6953624	0.1727329	69.928	-34.046	-1257.261	0.0898132	0	Stray Markers	453779	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453782	1	OK	0.6819582	0.1456961	-0.6953715	0.1736784	69.602	-34.064	-1257.721	0.0853931	0	Stray Markers	453782	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453785	1	OK	0.6820360	0.1458084	-0.6952473	0.1737756	69.226	-34.060	-1258.060	0.0882997	0	Stray Markers	453785	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453788	1	OK	0.6821298	0.1461922	-0.6951544	0.1734564	68.841	-34.082	-1258.558	0.0889256	0	Stray Markers	453788	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453791	1	OK	0.6819963	0.1462891	-0.6948859	0.1749690	68.146	-34.197	-1259.291	0.0891709	0	Stray Markers	453791	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453794	1	OK	0.6826164	0.1478760	-0.6938109	0.1754821	67.230	-34.286	-1260.296	0.0959544	0	Stray Markers	453794	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453797	1	OK	0.6828405	0.1480743	-0.6933010	0.1764556	66.499	-34.349	-1261.148	0.0893285	0	Stray Markers	453797	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453800	1	OK	0.6835285	0.1489536	-0.6922203	0.1772928	65.577	-34.446	-1262.046	0.0869976	0	Stray Markers	453800	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453803	1	OK	0.6840913	0.1493013	-0.6913363	0.1782759	64.723	-34.554	-1263.049	0.0851366	0	Stray Markers	453803	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453806	1	OK	0.6842157	0.1498600	-0.6908628	0.1791632	63.947	-34.642	-1263.855	0.0911662	0	Stray Markers	453806	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453809	1	OK	0.6842740	0.1496716	-0.6906949	0.1797442	63.344	-34.680	-1264.530	0.0889917	0	Stray Markers	453809	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453812	1	OK	0.6840732	0.1481562	-0.6910111	0.1805471	62.861	-34.694	-1265.098	0.0852925	0	Stray Markers	453812	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453815	1	OK	0.6836257	0.1462282	-0.6916134	0.1815053	62.405	-34.735	-1265.592	0.0844921	0	Stray Markers	453815	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453818	1	OK	0.6838657	0.1464755	-0.6912728	0.1816990	61.800	-34.786	-1266.320	0.0868080	0	Stray Markers	453818	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453821	1	OK	0.6837560	0.1461210	-0.6912531	0.1824705	61.356	-34.858	-1266.780	0.0879266	0	Stray Markers	453821	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453824	1	OK	0.6835394	0.1455858	-0.6913778	0.1832357	60.953	-34.903	-1267.204	0.0873445	0	Stray Markers	453824	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453827	1	OK	0.6836705	0.1463550	-0.6910035	0.1835458	60.354	-34.998	-1267.803	0.0921535	0	Stray Markers	453827	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453830	1	OK	0.6839548	0.1461911	-0.6905618	0.1842780	59.702	-35.028	-1268.606	0.0886118	0	Stray Markers	453830	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453833	1	OK	0.6841857	0.1467002	-0.6899655	0.1852473	58.812	-35.114	-1269.493	0.0881173	0	Stray Markers	453833	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453836	1	OK	0.6849594	0.1479393	-0.6888281	0.1856352	57.905	-35.223	-1270.568	0.0840519	0	Stray Markers	453836	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453839	1	OK	0.6846152	0.1468508	-0.6891849	0.1864431	57.427	-35.270	-1271.122	0.0849644	0	Stray Markers	453839	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453842	1	OK	0.6846059	0.1455349	-0.6892936	0.1871060	56.943	-35.309	-1271.650	0.0898336	0	Stray Markers	453842	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453845	1	OK	0.6836937	0.1435226	-0.6905541	0.1873481	56.671	-35.326	-1271.928	0.0868017	0	Stray Markers	453845	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453848	1	OK	0.6837469	0.1431484	-0.6904629	0.1877759	56.106	-35.359	-1272.516	0.0925371	0	Stray Markers	453848	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453851	1	OK	0.6842662	0.1429391	-0.6897333	0.1887223	55.392	-35.413	-1273.348	0.0776298	0	Stray Markers	453851	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453854	1	OK	0.6837696	0.1421818	-0.6900216	0.1900360	54.821	-35.494	-1274.009	0.0871327	0	Stray Markers	453854	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453857	1	OK	0.6841986	0.1428507	-0.6893276	0.1905083	54.087	-35.560	-1274.792	0.0888662	0	Stray Markers	453857	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453860	1	OK	0.6842835	0.1425822	-0.6892052	0.1908473	53.578	-35.632	-1275.304	0.0943303	0	Stray Markers	453860	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453863	1	OK	0.6844616	0.1428456	-0.6889611	0.1908925	53.011	-35.716	-1275.892	0.0910571	0	Stray Markers	453863	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453866	1	OK	0.6852048	0.1438147	-0.6879151	0.1912710	52.154	-35.773	-1276.848	0.0821426	0	Stray Markers	453866	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453869	1	OK	0.6857810	0.1450539	-0.6869762	0.1916438	51.244	-35.874	-1277.885	0.0853428	0	Stray Markers	453869	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453872	1	OK	0.6862247	0.1466456	-0.6861076	0.1919558	50.418	-35.954	-1278.826	0.0853117	0	Stray Markers	453872	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453875	1	OK	0.6863617	0.1471441	-0.6856567	0.1926943	49.710	-36.037	-1279.622	0.0827796	0	Stray Markers	453875	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453878	1	OK	0.6863595	0.1459965	-0.6855082	0.1940983	49.060	-36.121	-1280.271	0.0861720	0	Stray Markers	453878	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453881	1	OK	0.6867325	0.1458687	-0.6850760	0.1944007	48.466	-36.168	-1280.907	0.0868559	0	Stray Markers	453881	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453884	1	OK	0.6870227	0.1463727	-0.6845822	0.1947358	47.831	-36.234	-1281.597	0.0828332	0	Stray Markers	453884	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453887	1	OK	0.6876452	0.1487689	-0.6834860	0.1945735	47.084	-36.363	-1282.530	0.0809374	0	Stray Markers	453887	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453890	1	OK	0.6872023	0.1513912	-0.6837983	0.1930118	46.693	-36.359	-1282.953	0.0821341	0	Stray Markers	453890	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453893	1	OK	0.6865912	0.1516611	-0.6841432	0.1937513	46.264	-36.411	-1283.393	0.0889243	0	Stray Markers	453893	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453896	1	OK	0.6859194	0.1500911	-0.6851252	0.1938835	46.221	-36.390	-1283.420	0.0880195	0	Stray Markers	453896	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453899	1	OK	0.6866823	0.1487370	-0.6844681	0.1945459	45.778	-36.419	-1283.870	0.0838689	0	Stray Markers	453899	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453902	1	OK	0.6871105	0.1492047	-0.6836931	0.1953991	44.999	-36.492	-1284.706	0.0871298	0	Stray Markers	453902	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453905	1	OK	0.6868022	0.1517214	-0.6831749	0.1963552	44.120	-36.612	-1285.747	0.0828307	0	Stray Markers	453905	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453908	1	OK	0.6864384	0.1545033	-0.6828604	0.1965520	43.349	-36.726	-1286.422	0.0849040	0	Stray Markers	453908	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453911	1	OK	0.6858036	0.1551370	-0.6834877	0.1960880	43.208	-36.703	-1286.662	0.0821926	0	Stray Markers	453911	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453914	1	OK	0.6853320	0.1557001	-0.6839743	0.1955932	43.166	-36.655	-1286.680	0.0898469	0	Stray Markers	453914	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453917	1	OK	0.6847618	0.1541821	-0.6846496	0.1964283	43.007	-36.682	-1286.946	0.0825280	0	Stray Markers	453917	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453920	1	OK	0.6841626	0.1532563	-0.6854104	0.1965875	42.858	-36.689	-1287.140	0.0866061	0	Stray Markers	453920	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
2	Port 2: NDI 8700340  s/n:34802401	453923	1	OK	0.6842814	0.1535518	-0.6849324	0.1976064	42.124	-36.794	-1287.915	0.0842589	0	Stray Markers	453923	1	OK	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0
