Tools	Port 2: NDI 8700340  s/n:34802401	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	Stray Markers	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers	State	Tx	Ty	Tz	State	Tx	Ty	Tz
2	Port 2: NDI 8700340  s/n:34802401	360416	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360416	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-175.537	14.671	-1013.476	OK	-154.338	150.090	-1009.982
2	Port 2: NDI 8700340  s/n:34802401	360419	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360419	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-181.292	13.148	-1010.194	OK	-159.225	148.452	-1007.923
2	Port 2: NDI 8700340  s/n:34802401	360422	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360422	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-188.017	12.490	-1010.930	OK	-164.721	147.590	-1008.744
2	Port 2: NDI 8700340  s/n:34802401	360425	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360425	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-193.789	12.871	-1014.641	OK	-169.521	147.784	-1012.047
2	Port 2: NDI 8700340  s/n:34802401	360428	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360428	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-197.771	14.223	-1021.621	OK	-172.728	148.958	-1017.614
2	Port 2: NDI 8700340  s/n:34802401	360431	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360431	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-198.535	16.078	-1028.982	OK	-173.505	150.767	-1023.625
2	Port 2: NDI 8700340  s/n:34802401	360434	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360434	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-196.599	18.379	-1036.192	OK	-172.116	153.100	-1029.184
2	Port 2: NDI 8700340  s/n:34802401	360437	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360437	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-192.940	20.668	-1041.366	OK	-169.147	155.432	-1033.083
2	Port 2: NDI 8700340  s/n:34802401	360440	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360440	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-186.963	22.395	-1043.392	OK	-164.404	157.356	-1034.651
2	Port 2: NDI 8700340  s/n:34802401	360443	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360443	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-180.607	23.541	-1043.519	OK	-159.078	158.643	-1034.285
2	Port 2: NDI 8700340  s/n:34802401	360446	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360446	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-174.352	23.295	-1039.503	OK	-154.003	158.642	-1031.071
2	Port 2: NDI 8700340  s/n:34802401	360449	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360449	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-170.074	21.987	-1033.421	OK	-150.447	157.499	-1026.109
2	Port 2: NDI 8700340  s/n:34802401	360452	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360452	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-168.479	19.659	-1025.078	OK	-149.166	155.311	-1019.721
2	Port 2: NDI 8700340  s/n:34802401	360455	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360455	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-170.118	16.801	-1016.807	OK	-150.651	152.488	-1013.476
2	Port 2: NDI 8700340  s/n:34802401	360458	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360458	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-175.323	14.042	-1010.179	OK	-154.949	149.619	-1008.612
2	Port 2: NDI 8700340  s/n:34802401	360461	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360461	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-182.859	11.841	-1006.536	OK	-161.108	147.215	-1006.157
2	Port 2: NDI 8700340  s/n:34802401	360464	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360464	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-190.987	10.576	-1006.299	OK	-167.854	145.710	-1006.570
2	Port 2: NDI 8700340  s/n:34802401	360467	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360467	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-198.077	10.636	-1010.814	OK	-173.749	145.566	-1010.466
2	Port 2: NDI 8700340  s/n:34802401	360470	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360470	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-202.397	11.870	-1018.341	OK	-177.403	146.663	-1016.623
2	Port 2: NDI 8700340  s/n:34802401	360473	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360473	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-203.850	14.030	-1027.367	OK	-178.542	148.721	-1023.637
2	Port 2: NDI 8700340  s/n:34802401	360476	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360476	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-202.355	16.808	-1035.364	OK	-177.187	151.455	-1029.580
2	Port 2: NDI 8700340  s/n:34802401	360479	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360479	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-198.016	19.501	-1039.832	OK	-173.584	154.232	-1032.942
2	Port 2: NDI 8700340  s/n:34802401	360482	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360482	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-192.523	21.524	-1040.947	OK	-169.027	156.403	-1033.663
2	Port 2: NDI 8700340  s/n:34802401	360485	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360485	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-187.455	21.932	-1037.916	OK	-165.061	157.047	-1031.484
2	Port 2: NDI 8700340  s/n:34802401	360488	1	Too Few Markers	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	-3.697314E28	0.0000000	0	Stray Markers	360488	1	Too Few Markers	1.0000000	0.0000000	0.0000000	0.0000000	0.000	0.000	0.000	0.0000000	2	OK	-185.720	21.005	-1032.810	OK	-163.820	156.254	-1027.502
